subject,object,relation,paper_id,sentence_no,num_evidence
a species,climate,require,"[210511, 37144, 37144]","[2, 0, 5]",3
a species,climate,tolerate,"[223536, 10566, 16537, 17594]","[1, 2, 8, 6]",4
a species,climate,prefer,"[228398, 174756]","[1, 5]",2
a species,climate,respond,"[128252, 148172, 14338, 31102, 34402, 34427, 34604]","[0, 3, 11, 7, 1, 0, 5]",7
a species,climate,sensitive,"[132874, 85580, 86218, 32051, 179305, 179305]","[2, 5, 0, 1, 3, 7]",6
a species,climate,relation,"[136143, 15945, 33476]","[2, 2, 10]",3
a species,climate,interact,"[17218, 36262]","[3, 4]",2
a species,community,interact,"[180069, 58554]","[0, 1]",2
a species,range,have,"[180254, 187421, 121770, 141039, 79508, 15620]","[2, 4, 9, 5, 10, 5]",6
a species,range,change,"[206613, 62003]","[3, 1]",2
a species,range,shift,"[211324, 211324, 123364, 13663, 31331, 34500]","[0, 1, 1, 3, 6, 11]",6
a species,range,exhibit,"[28230, 30906, 31668]","[3, 3, 2]",3
a species,region,colonize,"[219541, 60789, 176018]","[2, 9, 0]",3
a species,stress,respond,"[180293, 222978, 133111, 61089, 161114, 175667]","[0, 2, 2, 1, 1, 0]",6
a species,stress,tolerate,"[217393, 226885, 117317, 132777, 56111, 21025, 175667]","[7, 9, 0, 4, 3, 12, 0]",7
a species,stress,sensitive,"[27666, 177609]","[4, 1]",2
a species,area,relation,"[180315, 214364, 141356]","[1, 1, 2]",3
a species,drought,tolerate,"[180331, 194427, 210555, 111552, 111552, 111552, 111552, 115915, 123738, 131518, 150407, 155476, 58010, 72004, 15450, 20679, 22501, 26852, 32053, 34178, 34178]","[7, 6, 6, 0, 4, 5, 6, 6, 3, 4, 5, 2, 4, 0, 1, 1, 3, 6, 2, 6, 6]",21
a species,drought,resist,"[197300, 97966, 35044]","[0, 11, 7]",3
a species,drought,sensitive,"[197300, 225360, 75200, 29496, 170155, 176173]","[2, 9, 1, 9, 9, 6]",6
a species,drought,respond,"[111552, 29180]","[6, 0]",2
a species,drought,dominate,"[76068, 76068]","[0, 0]",2
a species,temperature,respond,"[181382, 123800, 46969, 46969, 72358, 15721, 16149, 22303, 22359, 23162, 24933, 30851, 178533, 179540]","[1, 0, 1, 4, 0, 5, 2, 2, 6, 7, 2, 6, 4, 3]",14
a species,temperature,tolerate,"[203169, 203169, 99041, 29486, 34263, 34263]","[5, 5, 1, 3, 3, 11]",6
a species,temperature,track,"[127475, 13663]","[1, 5]",2
a species,temperature,sensitive,"[131954, 158458, 60537, 1585, 14338, 23204, 23204, 23431]","[1, 1, 7, 1, 6, 2, 8, 10]",8
a species,ecology,prefer,"[180703, 158054]","[2, 3]",2
a species,ecology,interact,"[207721, 215596, 227157, 131099, 175630, 175630, 175630]","[0, 2, 1, 8, 3, 5, 5]",7
a species,ecology,tolerate,"[130753, 153035]","[1, 0]",2
a species,ecology,require,"[53940, 87523]","[11, 8]",2
a species,habitat,form,"[181017, 181363, 222622, 31976, 33816]","[1, 0, 2, 1, 0]",5
a species,habitat,use,"[183817, 30851, 35010]","[2, 1, 3]",3
a species,habitat,lose,"[192860, 100072]","[2, 7]",2
a species,habitat,prefer,"[88533, 29180, 170012]","[7, 0, 7]",3
a species,habitat,colonize,"[22829, 177990]","[2, 2]",2
a species,exposure,sensitive,"[57762, 178746]","[4, 4]",2
a species,areas,occupy,"[181250, 222755, 61773, 31609]","[6, 7, 7, 5]",4
a species,areas,inhabit,"[109966, 177087]","[2, 7]",2
a species,areas,invade,"[164505, 179443]","[10, 0]",2
a species,conservation,concern,"[181494, 181598, 181598, 179208, 179248, 179900]","[1, 2, 8, 7, 2, 1]",6
a species,decline,experience,"[181510, 60810, 27684, 175668, 176289]","[0, 1, 2, 0, 0]",5
a species,oxygen,react,"[183699, 186377, 226002, 106742, 131963, 132011, 132011, 141639, 61580, 72377, 84967, 87299, 92349, 14855, 14950, 14950, 15563, 15563, 15994, 17307, 30738, 174980, 175122, 177742]","[0, 15, 1, 0, 1, 2, 4, 1, 5, 1, 3, 4, 12, 5, 4, 4, 0, 12, 5, 8, 0, 4, 0, 0]",24
a species,oxygen,demand,"[95178, 30851]","[1, 6]",2
a species,water,save,"[189718, 189718]","[0, 7]",2
a species,water,use,"[16213, 16213]","[3, 3]",2
a species,warm,respond,"[184557, 203494, 214731, 104852, 108048, 112794, 48934, 48934, 48934, 81178, 81178, 96208, 15721, 16149, 27684, 161948, 177062, 179678, 179678]","[6, 4, 10, 6, 4, 5, 1, 11, 11, 0, 6, 4, 5, 0, 2, 7, 0, 13, 15]",19
a species,warm,sensitive,"[130101, 32681]","[1, 4]",2
a species,warm,tolerate,"[23866, 23866, 23866]","[1, 1, 1]",3
a species,the plant,dominate,"[185209, 23289]","[5, 5]",2
a species,pollution,tolerate,"[189048, 127217, 127217, 58373, 96044, 28815]","[6, 0, 0, 5, 1, 5]",6
a species,pollution,indicate,"[201657, 122385, 138567, 153745, 42839, 46625, 86864, 6688, 35391]","[2, 1, 0, 0, 4, 4, 4, 0, 1]",9
a species,pollution,sensitive,"[106699, 127217, 127217, 53397]","[4, 0, 0, 1]",4
